IdNo,GameName,Genre,Top_Country,Country_Code,Continent,Releaseyear,PlayerNo,TournamentNo, Top_Country_Earnings , TotalMoney 
231,Dota 2,Multiplayer Online Battle Arena,China,CN,Asia,2013,3836,1434,65060611.47,227419904.5
245,Counter-Strike: Global Offensive,First-Person Shooter,Denmark,DK,Europe,2012,13032,5252,15379018.34,102474261.3
534,Fortnite,Battle Royale,United States,US,North America,2017,4347,660,33422756.37,97508425
164,League of Legends,Multiplayer Online Battle Arena,Korea,KP,Asia,2009,7130,2477,26739426.14,79003448.94
151,StarCraft II,Strategy,Korea,KP,Asia,2010,2078,5909,20635189.05,33914062.96
426,Overwatch,First-Person Shooter,Korea,KP,Asia,2016,3494,743,13127719.69,26049333.28
504,PLAYERUNKNOWN'S BATTLEGROUNDS,Battle Royale,Korea,KP,Asia,2017,2754,294,6136956.62,23710378.57
328,Hearthstone,Collectible Card Game,China,CN,Asia,2014,2423,898,3598395.2,23098378.24
371,Heroes of the Storm,Multiplayer Online Battle Arena,Korea,KP,Asia,2015,1250,463,5808630.38,18177982.65
529,Arena of Valor,Multiplayer Online Battle Arena,China,CN,Asia,2015,558,51,5016882.31,15228710.62
162,Counter-Strike,First-Person Shooter,Sweden,SE,Europe,2000,4137,995,2837398.01,13494229.57
439,Rainbow Six Siege,First-Person Shooter,United States,US,North America,2015,1552,228,2959315.46,12214525.74
409,Rocket League,Sports,United States,US,North America,2015,1086,1087,2894739.17,9171818.72
351,SMITE,Multiplayer Online Battle Arena,United States,US,North America,2014,522,95,3512644.34,8640112.75
152,StarCraft: Brood War,Strategy,Korea,KP,Asia,1998,674,571,7577721.71,8251181.43
423,Halo 5: Guardians,First-Person Shooter,United States,US,North America,2015,233,75,5359312.23,7071480.97
549,Call of Duty: Black Ops 4,First-Person Shooter,United States,US,North America,2018,376,66,4723999.52,6701938.95
626,Call of Duty: Modern Warfare,First-Person Shooter,United States,US,North America,2019,255,44,4606600,6592284.5
352,CrossFire,First-Person Shooter,China,CN,Asia,2007,629,306,2116121.6,6448845.02
158,WarCraft III,Strategy,Korea,KP,Asia,2002,558,1335,2054554.12,5811479.73
567,Magic: The Gathering Arena,Collectible Card Game,United States,US,North America,2018,232,36,1229725,5512000
165,World of WarCraft,Role-Playing Game,United States,US,North America,2004,413,118,1416887.48,4957837.61
490,Call of Duty: World War II,First-Person Shooter,United States,US,North America,2017,266,64,3250438.02,4559271
566,Apex Legends,Battle Royale,United States,US,North America,2019,1099,170,1825646.05,4273351.69
455,Call of Duty: Infinite Warfare,First-Person Shooter,United States,US,North America,2016,341,80,2703625,4156205.06
425,Call of Duty: Black Ops III,First-Person Shooter,United States,US,North America,2015,420,78,2254984.62,3939783.29
554,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,Battle Royale,China,CN,Asia,2017,1055,39,914193.07,3764853.07
345,World of Tanks,Strategy,Russian Federation,RU,Europe,2010,403,50,1290113.15,3656496.59
464,Clash Royale,Strategy,United States,US,North America,2016,287,50,514837.21,3319748.27
556,FIFA 19,Sports,Germany,DE,Europe,2018,303,48,612962.72,3242642.34
564,Shadowverse,Collectible Card Game,Japan,JP,Asia,2016,239,42,1633309.47,3211177.09
204,Super Smash Bros. Melee,Fighting Game,United States,US,North America,2001,1878,2608,2420764.48,3210134.19
